Location,Name,Price,Rating,Cost,Hunger
California Burritos,California Everything,6,4,6.25,4
California Burritos,California Everything,6,4,6.25,3
California Burritos,Carne asada everything,6,4,6.25,4
Burros and Fries,Carne asada,6,4,6.89,2
Taco Stand,"California ",7,4,7.49,2
Taco Stand,"California ",7,4,7.49,4
Carmen's Mexican Food,Carne asada,6,4,6.5,4
Senor Panchos,California,6,4,6.25,4
Los Cabos,Al pastor,5,4,5.69,4
Lucha Libre North Park,Surfin California,8,4,8.25,3
Lucha Libre North Park,Holy Moly,7,4,7.5,2
Lucha Libre North Park,Holy Moly,7,4,7.5,4
Cancun Mexican & Seafood,California,6,4,6.99,5
Roberto's Taco Shop Clairemont,California + Guac + sour cream,7,4,7.29,0
El Cuervo,Pollo adobado,5,4,5.95,3
Taco Villa,Carnitas,5,4,5.99,3
Rigoberto's Taco Shop,Carnitas,6,4,6.6,2
Valentines Mexican Food,California Chipotle,7,4,7.9,4
California Burritos,California Everything,6,4,6.95,3
Taco Villa,Tejano,6,4,6.99,4
Taco Villa,Al pastor,0,4,Free,3
Donato's Taco Shop,Carne asada,5,4,5.99,3
El Zarape,California,6,4,6.25,3
El Zarape,Carne asada supreme,6,4,6.25,5
Valentines Mexican Food,California,7,4,7.9,3
Taco Villa,California,0,4,Free,4
Los Tacos,Local,7,4,7.9,2
Los Tacos,Local,7,4,7.9,3
California burritos,California everything,6,4,6.5,4
California burritos,California everything,6,4,6.5,4
Taco Villa,Carnitas,5,4,5.99,4
Filiberto's,California,6,4,6.25,3
Rigoberto's Taco Shop,California,6,4,6.85,2
El Dorado Mexican Food,California,7,4,7.4,3
Roberto's Taco Shop Hillcrest,California Surf and Turf,9,4,9,3
Caliente Mexican Food,"carne asada ",5,4,5.56,4
Los Tacos 2,Local,8,4,8.5,3
Los Tacos 2,Local,8,4,8.5,4
Los Primos Mexican Food,Monster California,9,3.9,9.25,4
Tony's Fresh Mexican Food,California,6,3.9,6.25,3
Cancun Mexican & Seafood,Machaca,5,3.9,5.99,4
Juanita's Taco Shop,Arizona,5,3.9,5.55,4
Taco Stand,Al pastor,6,3.9,6.99,3
California Burritos,California Everything,6,3.9,6.25,4
Lucha Libre North Park,Surfin California,8,3.9,8.25,5
Lucha Libre North Park,California - Steak,7,3.9,7.5,4
Taco Villa,Carnitas,5,3.9,5.95,4
El Zarape,California,6,3.9,6.25,4
Rigoberto's Taco Shop,Chile Relleno,6,3.9,6.6,3
Los Tacos,Fusion,8,3.9,8.5,3
Lupe's Taco Shop,California,7,3.9,7.49,4
Lupe's Taco Shop,TGunz,10,3.9,10,4
Rigoberto's Taco Shop,California,6,3.9,6.85,2
Valentines Mexican Food,Carne asada,6,3.9,6.75,2
Donato's taco shop,"California ",6,3.8,6.49,4
Lola's 7 Up Market & Deli,Shredded beef,6,3.8,6,3
Jorge's Mexicatessen,"California ",5,3.8,5.95,4
Lolita's taco shop,2 in 1,8,3.8,8.75,4
"Karina's Taco Shop ","California ",6,3.8,6.99,4
Los Primos Mexican Food,Baja monster,6,3.8,6,5
El Dorado Mexican Food,Super,6,3.8,6.94,3
Pollos Maria,Combo chicken,6,3.8,6.99,3
Los Tacos,Local,7,3.8,7.9,2
El Dorado Mexican Food,California,7,3.8,7.4,2
Burros and Fries,California,7,3.8,7.19,3
El Rey Moro,Hashbrown,8,3.8,8.94,5
Taco Villa,Carnitas,5,3.8,5.99,3
Oscar's Mexican food,Carne asada,5,3.75,5.25,3
Vallarta express,Quesa,6,3.75,6.95,4
California Burritos,California Everything,6,3.75,6.25,3
Papa Chito's Mexican Food,California,6,3.75,6.25,3
El Portal Fresh Mexican Grill,Carnitas,6,3.75,6.7,4
Lourdes,Carnitas,7,3.75,7.35,3
Taco stand,California,7,3.7,7.49,3
Lolita's taco shop,2 in 1,8,3.7,8.75,4
"Karina's Taco Shop ",Bomb,7,3.7,7.99,3
Taco Surf PB,Carne asada,6,3.7,6.02,3
Albertacos,"California ",5,3.7,5.7,4
Los Panchos Taco Shop,California,6,3.7,6.25,4
Los Panchos Taco Shop,Tijuana,7,3.7,7,1
Rigoberto's Taco Shop,California,6,3.7,6.6,2
Lupe's Taco Shop,Hot cheetos,7,3.7,7.29,3
Filiberto's,Adobada,6,3.7,6.25,1
Don Carlos Taco Shop,California,7,3.7,7.75,3
Cotixan,California,6,3.7,6.9,3
Taco VIlla,California,6,3.7,6.99,3
Kotija Jr,California,6,3.7,6.99,5
Rigoberto's Taco Shop,California,6,3.6,6.6,2
Carmen's Mexican Food,Adobada,6,3.6,6.5,5
Lucha Libre North Park,Surf & Turf,8,3.6,8.25,4
Roberto's Taco Shop Clairemont,California,5,3.6,5.79,4
El Cuervo,"California ",6,3.6,6.95,2
Rigoberto's Taco Shop La Jolla,California,6,3.6,6.85,4
Los palmitos,Surf & Turf,8,3.6,8.25,3
Los Tacos 2,"Al pastor tradicional ",8,3.6,8.25,5
Rigoberto's Taco Shop La Jolla,California,6,3.5,6.4,3
Lolita's taco shop,Adobado,5,3.5,5.5,4
Taco stand,Al pastor,6,3.5,6.99,5
Vallarta express,Surf and turf,7,3.5,7.65,4
Vallarta express,Mahi,7,3.5,7.3,3
Taco stand,Carne asada,7,3.5,7.89,2
Vallarta express,Fish,6,3.5,6.5,3
"Mi Asador Mexican & Seafood ","El Hawaiiano ",6,3.5,6.39,4
Sotos Mexican Food,California,6,3.5,6.75,4
Taco stand,Carne asada,7,3.5,7.89,4
Juanita's Taco Shop,"California ",5,3.5,5.55,3
Los Primos Mexican Food,California,7,3.5,7.5,3
"Los tacos ",Local,7,3.5,7.9,4
Taco Stand,Al pastor,6,3.5,6.99,4
Tacos por favor,Carne asada,7,3.5,7.85,4
Tacos por favor,Carne asada,6,3.5,6.85,3
Lolita's Taco Shop,Mixed,8,3.5,8.25,3
Burros and Fries,California,6,3.5,6.89,3
Lucha Libre North Park,Surfin California,8,3.5,8.25,4
Lucha Libre North Park,Surfin California,8,3.5,8.25,4
Lucha Libre North Park,Surfin California,8,3.5,8.25,4
Lucha Libre North Park,California - Steak,7,3.5,7.5,4
Lucha Libre North Park,Holy Moly,7,3.5,7.5,2
Cancun Mexican & Seafood,Adobada,6,3.5,6.45,4
California Burrito Company,California,5,3.5,5.5,3
California Burrito Company,California,5,3.5,5.5,4
Taco Villa,"California ",6,3.5,6.99,3
California Burrito Company,"California ",5,3.5,5.5,4
